database;annotation;image;segmented;label;pose;truncated;occluded;xmin;ymin;xmax;ymax
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1548;827;1624;888
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1317;29;1359;111
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1366;400;1460;470
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1451;428;1545;470
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1316;98;1379;160
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1371;152;1410;207
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1578;26;1623;117
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;810;269;894;342
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;527;858;568;944
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;482;951;546;1029
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;358;1169;418;1224
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;612;577;688;664
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1018;185;1086;245
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1452;486;1520;517
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1514;490;1565;567
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;488;717;548;806
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1045;1;1097;121
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;374;135;420;232
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;880;936;1006;979
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1185;548;1231;585
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1223;1017;1282;1074
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1489;7;1571;67
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;432;125;471;243
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;649;505;717;579
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1183;635;1233;699
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;395;573;434;643
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;810;552;874;598
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1239;521;1326;591
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1388;707;1474;754
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;511;781;568;858
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;222;862;337;895
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;436;1136;502;1215
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;688;496;756;540
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;816;432;878;490
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;948;174;1018;212
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1018;201;1117;245
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1159;501;1266;548
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1415;505;1503;579
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;696;1145;764;1188
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;589;771;626;847
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;719;1019;799;1070
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1126;998;1212;1041
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;265;1132;329;1202
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;471;513;513;591
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;213;222;250;249
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1375;771;1466;864
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1301;373;1353;457
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;890;226;952;315
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;463;243;535;307
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;228;344;261;422
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;195;884;308;940
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;250;707;362;748
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1233;849;1349;924
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;855;680;925;756
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;711;874;804;990
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1254;1140;1291;1204
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1443;1161;1497;1224
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;341;335;418;426
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1477;36;1520;90
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1507;88;1543;193
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1101;416;1155;559
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;754;495;839;577
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;760;559;793;668
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;294;872;333;964
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;732;288;814;333
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1524;843;1609;880
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1534;895;1574;996
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1540;969;1625;1012
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;579;705;645;759
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;764;342;824;404
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;795;317;923;371
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;17;44;189;98
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;261;42;314;100
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;42;53;104;112
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;979;73;1049;125
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1167;96;1229;156
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1278;486;1342;536
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1419;391;1472;439
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1014;928;1082;996
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1057;1083;1177;1126
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;110;878;193;911
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;393;783;442;835
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1264;996;1340;1064
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1538;550;1615;614
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;636;932;709;996
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;630;622;748;688
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;634;401;723;449
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1307;321;1396;379
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1249;106;1330;148
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1392;205;1452;267
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;833;71;919;110
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;219;1134;296;1171
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;645;1167;758;1221
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;603;416;684;455
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;261;422;319;459
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;405;174;535;238
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;583;690;662;717
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1085;406;1134;473
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;942;607;998;729
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;184;482;232;534
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;361;224;402;295
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;911;369;957;429
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1497;641;1559;728
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;994;900;1043;994
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;927;632;970;723
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1363;885;1448;942
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1557;690;1606;751
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;224;96;285;132
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;854;836;906;939
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;690;662;736;732
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1144;653;1192;738
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1206;544;1264;614
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1464;100;1518;160
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1574;137;1625;226
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1115;7;1169;115
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1194;876;1266;926
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1334;439;1369;498
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1287;222;1355;288
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1365;38;1446;160
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;597;845;684;891
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;808;434;884;536
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;279;112;333;189
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;612;889;725;969
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;919;67;965;125
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;304;734;414;767
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;628;228;684;323
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1216;259;1252;333
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1229;876;1268;957
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1074;511;1163;560
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;583;703;632;771
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;725;849;771;928
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;98;158;143;220
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;145;294;205;414
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1499;77;1528;146
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;123;415;185;454
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;851;426;899;534
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;329;20;378;131
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;711;242;754;330
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;565;263;638;349
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;422;614;501;681
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1003;1052;1082;1110
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1079;1085;1207;1134
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;617;851;720;927
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1341;540;1396;641
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1286;836;1353;903
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;414;307;467;381
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;597;802;680;845
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;789;864;861;905
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;793;891;863;955
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;766;664;822;748
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1349;626;1398;713
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1565;565;1629;637
Makerere Automated Lab Diagnostics Database;Makerere University;Mulago National Referral Hospital;0;TBbacillus;Unspecified;0;0;1124;424;1190;478
